Id,Kazakh,Russian,English,Level
94,жақсы көру,любить,to love,A1
95,ұнау,"нравиться, понравиться",to like,A1
96,ақкөңіл,искренний,sincere,A1
97,мінез,характер,character,A1
98,ақылды,умный,clever,A1
99,білімді,образованный,educated,A1
100,белсенді,активный,active,A1
101,еңбекқор,трудолюбивый,hard working,A1
102,жалқау,ленивый,lazy,A1
103,көңілді,весёлый,cheerful,A1
104,қарапайым,скромный,humble,A1
105,салмақты,спокойный,calm,A1
106,сенімді,верный,trustful,A1
107,сыпайы,вежливый,polite,A1
108,ұқыпты,внимательный,"attentive, careful",A1
109,нөл,ноль,zero,A1
110,сандар,цифры,numeral,A1
111,бір,один,one,A1
112,екі,два,two,A1
113,үш,три,three,A1
114,төрт,четыре,four,A1
115,бес,пять,five,A1
116,алты,шесть,six,A1
117,жеті,семь,seven,A1
118,сегіз,восемь,eight,A1
119,тоғыз,девять,nine,A1
120,он,десять,ten,A1
121,он бір,одиннадцать,eleven,A1
122,он екі,двенадцать,twelve,A1
123,он үш,тринадцать,thirteen,A1
124,он төрт,четырнадцать,fourteen,A1
125,он бес,пятнадцать,fifteen,A1
126,он алты,шестнадцать,sixteen,A1
127,он жеті,семнадцать,seventeen,A1
128,он сегіз,восемнадцать,eighteen,A1
129,он тоғыз,девятнадцать,nineteen,A1
130,жиырма,двадцать,twenty,A1
131,отыз,тридцать,thirty,A1
132,қырық,сорок,forty,A1
133,елу,пятьдесят,fifty,A1
134,алпыс,шестьдесят,sixty,A1
135,жетпіс,семьдесят,seventy,A1
136,сексен,восемьдесят,eighty,A1
137,тоқсан,девяносто,ninety,A1
138,жүз,сто,one hundred/ a hundred,A1
139,мың,тысяча,thousand,A1
140,бірінші,первый,the first,A1
141,біреу,один,one,A1
142,екеу,двое,two,A1
143,үшеу,трое,three,A1
144,төртеу,четверо,four,A1
145,бесеу,пятеро,five,A1
146,алтау,шестеро,six,A1
147,жетеу,семеро,seven,A1
148,жартысы,половина,half,A1
149,қанша?,сколько?,how many/much,A1
150,аз,мало,small/little,A1
151,көп,много,many/ a lot of/much,A1
152,бірнеше,несколько,some/few,A1
153,нешінші?,какой по порядку?,which one in order?,A1
154,астана,столица,capital,A1
155,қала,город,city,A1
156,аудан,район,area,A1
157,ықшамаудан,микрорайон,microdistrict,A1
158,жағалау,берег,bank,A1
159,сырты,внешняя сторона,outer side,A1
160,шеті,край,edge,A1
161,орталық,центр,center,A1
162,алаң,площадь,squarе,A1
163,даңғыл,проспект,avenue,A1
164,көше,улица,street,A1
165,аула,двор,yard,A1
166,көлік,транспорт,transport,A1
167,бағдаршам,светофор,traffic light,A1
168,аялдама,остановка,bus stop,A1
169,ескерткіш,памятник,monument,A1
170,мекеме,здание,building,A1
171,бақ,сад,garden,A1
172,саябақ,парк,park,A1
173,қоғамдық,общественный,society,A1
174,орын,место,public place,A1
175,әкімдік,акимат,city administration,A1
176,аурухана,больница,hospital,A1
177,емхана,поликлиника,polyclinic/clinic,A1
178,дәріхана,аптека,chemist’s shop,A1
179,жедел жәрдем,скорая помощь,ambulance,A1
180,асхана,столовая,dining-hall,A1
181,дәмхана,кафе,a cafe,A1
182,мейрамхана,ресторан,restaurant,A1
183,қонақүй,гостиница,hotel,A1
184,пошта,почта,post office,A1
185,дүкен,магазин,store/shop,A1
186,зауыт,завод,factory,A1
187,мектеп,школа,school,A1
188,балабақша,детский сад,kindergarten,A1
189,шаштараз,парикмахерская,"hairdressr’s, baber shop",A1
190,қызмет,служба,service,A1
191,айналасы,вокруг,around,A1
192,алдында,впереди,in front of,A1
193,артында,позади,behind,A1
194,жанында,"рядом, около, возле",next to,A1
195,оң жақ,правая сторона,right side,A1
196,сол жақ,левая сторона,left side,A1
197,ақырын,медленно,slow,A1
198,үнемі,"регулярно, постоянно",regularly,A1
199,жақын,близко,near,A1
200,алыс,далеко,far,A1
201,тура,прямо,straight,A1
202,қиылыс,перекресток,intersection,A1
203,отыру,садиться,sit down,A1
204,көшу,"переезжать, переехать",move,A1
205,кіру,войти,come in,A1
206,шығу,выходить,go out,A1
207,өту,проходить,go through,A1
208,сұрау,спросить,ask,A1
209,тоқтау,остановиться,stop,A1
210,тұру,жить,live,A1
211,үй,дом,house,A1
212,пәтер,квартира,flat,A1
213,қабат,этаж,floor,A1
214,қабырға,стена,wall,A1
215,еден,пол,floor,A1
216,терезе,окно,window,A1
217,бұрыш,угол,corner,A1
218,есік,дверь,door,A1
219,кілт,ключ,key,A1
220,бөлме,комната,room,A1
221,асүй,кухня,kitchen,A1
222,жуынатын бөлме,ванная комната,bathroom,A1
223,әжетхана,туалет,toilet,A1
224,дәліз,коридор,hall,A1
225,қонақ бөлме,"гостиная, зал",living room,A1
226,жатын бөлме,спальная комната,bedroom,A1
227,төсек,постель,bedding,A1
228,жастық,подушка,pillow,A1
229,көрпе,одеяло,blanket,A1
230,кең,"широкий (-ая,-ие,-ое)",wide,A1
231,жылы,тёплый,warm,A1
232,жайлы,удобный,comfortable,A1
233,тар,узкий,narrow,A1
234,ыңғайлы,удобный,convenient,A1
235,жамылу,укрываться,cover,A1
236,жуыну,мыться,wash,A1
237,жату,ложиться,go to bed,A1
238,ұйықтау,спать,sleep,A1
239,зат,предмет,subject,A1
240,тұрмыстық заттар,бытовые приборы,нousehold aplliances,A1
241,үтік,утюг,iron,A1
242,шаңсорғыш,пылесос,vaccum cleaner,A1
243,тоңазытқыш,холодильник,refrigerator,A1
244,теледидар,телевизор,television/ tv set,A1
245,кір жуатын мәшине,стиральная машина,washing machine,A1
246,айна,зеркало,mirror,A1
247,жиhаз,мебель,furniture,A1
248,кереует,кровать,bed,A1
249,кілем,ковёр,carpet,A1
250,орындық,стул,chair,A1
251,сурет,картина,picture/painting,A1
252,үстел,стол,table,A1
253,шам,лампа,lamp,A1
254,жұмыс,работа,work,A1
255,уақыт,время,time,A1
256,күнтізбе,календарь,calendar,A1
257,жұмыс күні,рабочий день,working day,A1
258,жұмыс кестесі,график работы,"timetable, schedule",A1
259,түскі үзіліс,обеденный перерыв,lunch break,A1
260,жиналыс,"собрание, совещание",meeting,A1
261,ақпарат,информация,information,A1
262,басшы,руководитель,head,A1
263,есеп,отчёт,report,A1
264,қорытынды,"вывод, заключение",conclusion,A1
265,өтініш,заявление,application,A1
266,өмірбаян,автобиография,autobiography,A1
267,түйіндеме,резюме,summary,A1
268,еңбек,труд,work/job,A1
269,еңбек демалысы,трудовой отпуск,basic leave,A1
270,демалыс,отдых,rest/holiday,A1
271,бөлім,отдел,department,A1
272,өтіл,стаж,work experience,A1
273,ұйым,организация,organization,A1
274,жекеменшік,частный,private,A1
275,кәсіп,профессия,рrofession,A1
276,кәсіпкер,предприниматель,businessman,A1
277,маман,специалист,specialist,A1
278,мамандық,специальность,specialty,A1
279,ғалым,учёный,a scientist,A1
280,заңгер,юрист,a lawyer,A1
281,дәрігер,врач,a doctor,A1
282,мейіргер,"медбрат, медсестра",a nurse,A1
283,сәулетші,архитектор,an architect,A1
284,суретші,художник,an artist,A1
285,есепші,бухгалтер,an accountant,A1
286,аспаз,повар,a cook,A1
287,даярлау,готовить,to cook,A1
288,даяшы,официант,a waiter,A1
289,ғарышкер,космонавт,an astronaut,A1
290,хат,письмо,letter,A1
291,хатшы,секретарь,a secretary,A1
292,ал,а,but,A1
293,алайда,но,only,A1
294,әлде,или,or,A1
295,біріншіден,во-первых,first of all,A1
296,дегенмен,"все-таки, несмотря на",however,A1
297,жалпы айтқанда,в целом,generally speaking,A1
298,керек,надо,need,A1
299,менің ойымша,по моему мнению,in my opinion,A1
300,мүмкін,возможно,maybe,A1
301,өйткені,"потому что, ведь, ибо",because,A1
302,өкінішке қарай,к сожалению,unfortunately,A1
303,сондай-ақ,а также,also,A1
304,сондықтан,поэтому,"because of, so",A1
305,сонымен қатар,"наряду с этим, а также",also,A1
306,тиіс,должен,"have to, must",A1
307,аудармашы,переводчик,"interpreter, translator",A1
308,оқытушы,преподаватель,teacher,A1
309,мұғалім,учитель,teacher,A1
310,мұнайшы,нефтяник,oilman,A1
311,сатушы,продавец,shop assistant,A1
312,әнші,певец,singer,A1
313,тілші,журналист,journalist,A1
314,ақын,поэт,poet,A1
315,жұмысшы,рабочий,worker,A1
316,жүргізуші,водитель,driver,A1
317,айту,говорить,speak,A1
318,алу,брать,take,A1
319,аудару,переводить,translate,A1
320,ауыру,болеть,"ill, to be seak",A1
321,ашу,открывать,open,A1
322,беру,дать,give,A1
323,бояну,краситься,put on make up,A1
324,бояу,красить,paint,A1
325,білу,знать,know,A1
326,дайындау,готовить,cook,A1
327,даму,развиваться,develop,A1
328,емдеу,лечить,treat,A1
329,есту,слышать,hear,A1
330,жабу,закрывать,close,A1
331,жазу,писать,write,A1
332,жасау,делать,do,A1
333,жауап беру,отвечать,answer,A1
334,жеу,кушать,eat,A1
335,жинау,убираться,clean,A1
336,жуу,мыть,wash,A1
337,жүгіру,бегать,run,A1
338,жүру,ходить,walk,A1
339,келу,прийти,come,A1
340,кептіру,сушить,dry,A1
341,кету,"уйти, уходить",go away,A1
342,кигізу,одевать,put on,A1
343,киіну,одеваться,get dressed,A1
344,көмек беру,оказывать помощь,help,A1
345,көру,"видеть, смотреть","see, watch",A1
346,көшіру,переписывать,rewrite,A1
347,күлу,смеяться,laugh,A1
348,кір жуу,стирать вещи,do the washing,A1
349,қабылдау,принимать,employ,A1
350,қайнату,кипятить,boil,A1
351,қайталау,повторять,repeat,A1
352,қолдану,пользоваться,enjoy,A1
353,қою,ставить,put,A1
354,қуыру,жарить,fry,A1
355,мақтан ету,гордиться,be proud of,A1
356,ойлау,думать,think,A1
357,оқу,читать,read,A1
358,оқыту,обучать,teach,A1
359,ояну,просыпаться,wake up,A1
360,қайтыс болу,умирать,die,A1
361,өмір сүру,жить,live,A1
362,пісіру,варить,boil,A1
363,салу,ложить,lie down,A1
364,санау,считать,count,A1
365,сөйлеу,говорить,speak,A1
366,сүрту,вытирать,wipe,A1
367,сызу,чертить,draw,A1
368,сыйлау,уважать,respect,A1
369,тазалау,чистить,clean,A1
370,таңдау,выбирать,choose,A1
371,тексеру,проверить,check,A1
372,туу,родить,give birth,A1
373,түсіну,понимать,understand,A1
374,үйрену,учиться,study,A1
375,шаң сору,пылесосить,vacuum,A1
376,шығару,выносить,endure,A1
377,істеу,делать,do,A1
378,ішу,пить,drink,A1
379,мемлекеттік,государственное,state organization,A1
380,мемлекет,государство,state,A1
381,отан,родина,motherland,A1
382,ел,страна,country,A1
383,туған жер,родной край,motherland,A1
384,рәміз,символ,symbol,A1
385,ту,флаг,flag,A1
386,елтаңба,герб,emblem,A1
387,гимн,гимн,anthem,A1
388,тіл,язык,language,A1
389,халық,народ,people,A1
390,азаматтық,гражданство,"citizenship, nationality",A1
391,шекара,граница,border,A1
392,қорғау,оборонять,defend,A1
393,заң,закон,law,A1
394,шетел,иностранный,foreigner,A1
395,таңғы ас,завтрак,breakfast,A1
396,түскі ас,обед,lunch/ dinner,A1
397,кешкі ас,ужин,supper,A1
398,дастарқан,скатерть,tablecloth,A1
399,тағам,блюдо,dish,A1
400,нан,хлеб,bread,A1
401,бауырсақ,баурсаки,baursak,A1
402,май,масло,butter,A1
403,қаймақ,сметана,sour cream,A1
404,ірімшік,сыр,cheese,A1
405,сүзбе,творог,cottage cheese,A1
406,жұмыртқа,яйцо,egg,A1
407,ботқа,каша,porridge,A1
408,ет,мясо,meat,A1
409,балық,рыба,fish,A1
410,шұжық,колбаса,sausage,A1
411,қуырдақ,жаркое,roast,A1
412,палау,плов,plov,A1
413,күріш,рис,rice,A1
414,сорпа,бульон,broth,A1
415,көже,суп,soup,A1
416,бақша,огород,garden,A1
417,көгөніс,овощь,vegetable,A1
418,картоп,картофель,potato,A1
419,қырыққабат,капуста,cabbage,A1
420,пияз,лук,onion,A1
421,сәбіз,морковь,carrot,A1
422,қияр,огурец,cucumber,A1
423,қызанақ,помидор,tomotoe,A1
424,қауын,дыня,melon,A1
425,қарбыз,арбуз,water melon,A1
426,жеміс,фрукты,fruit,A1
427,алма,яблоко,apple,A1
428,алмұрт,груша,pear,A1
429,жидек,ягоды,berry,A1
430,жүзім,виноград,grapes,A1
431,құлпынай,клубника,strawberry,A1
432,өрік,абрикос,apricot,A1
433,шабдалы,персик,peach,A1
434,шие,вишня,cherry,A1
435,піскен,спелый,ripe,A1
436,қышқыл,кислый,sour,A1
437,ащы,горький,spicy,A1
438,қатты,твёрдый,solid,A1
439,жұмсақ,мягкий,soft,A1
440,тәтті,сладкий,sweet,A1
441,қант,сахар,sugar,A1
442,бал,мёд,honey,A1
443,балмұздақ,мороженое,ice cream,A1
444,тосап,варенье,jam,A1
445,сусын,напиток,drink,A1
446,шай,чай,tea,A1
447,сүт,молоко,milk,A1
448,шырын,сок,juice,A1
449,ұлттық тағамдар,национальные блюда,tradiotonal meal,A1
450,айран,кефир,kefir,A1
451,қымыз,кумыс,permented from mare’s,A1
452,шұбат,шубат,shybat (national drink,A1
453,тұз,соль,salt,A1
454,майлы,жирный,fatty,A1
455,пайдалы,полезный,useful,A1
456,зиян,вредный,harmful,A1
457,қуырылған,жареный,fried,A1
458,қайнатылған,кипячёный,boiled,A1
459,буға піскен,приготовленный на,steamed,A1
460,ыдыс,посуда,dishes,A1
461,майлық,салфетка,napkin,A1
462,қасық,ложка,spoon,A1
463,шайқасық,чайная ложка,tea spoon,A1
464,шанышқы,вилка,fork,A1
465,пышақ,нож,knife,A1
466,шыныаяқ,чашка,cup,A1
467,табақ,блюдо,"dish, plate",A1
468,кесе,пиала,drinking bowl,A1
469,таба,сковорода,frying pan,A1
470,сатылым,продажа,sale,A1
471,жеңілдік,скидка,a discount,A1
472,пайыз,процент,percent,A1
473,арзан,дешёвый,cheap,A1
474,қымбат,дорогой,expensive,A1
475,сауда,торговля,trade,A1
476,ақша,деньги,money,A1
477,баға,цена,price,A1
478,келі,килограмм,kilogram,A1
479,тамақ ішу,принимать пищу,to have a мeal,A1
480,айналысу,заниматься,engage in,A1
481,ән айту,петь,sing,A1
482,балық аулау,рыбачить,to fish,A1
483,дүкен аралау,ходить по магазинам,go to the mall,A1
484,жаяу қыдыру,гулять пешком,to walk,A1
485,жүзуге бару,ходить на плавание,go swimming,A1
486,кино көру,смотреть кино,to watch movie,A1
487,коньки тебу,кататься на коньках,to skate,A1
488,кітап оқу,читать книги,to read,A1
489,музыка тыңдау,слушать музыку,listen to music,A1
490,мұз айдыны,ледовый каток,ice rink,A1
491,мұражайға бару,ходить в музей,go to the museum,A1
492,серуендеу,прогуливаться,walk,A1
493,суретке түсіру,фотографировать,take a foto,A1
494,сүйікті іс,"любимое занятие, хобби",favourite buisness,A1
495,тауға шығу,подниматься в горы,go to the mountains,A1
496,шаңғы тебу,кататься на лыжах,skiing,A1
497,ағаш,дерево,tree,A1
498,табиғат,природа,nature,A1
499,ай,луна,moon,A1
500,арал,остров,island,A1
501,аспан,небо,sky,A1
502,ауа,воздух,air,A1
503,бұлт,облако,cloud,A1
504,гүл,цветок,flowers,A1
505,жер,земля,earth,A1
506,жұлдыз,звезда,star,A1
507,көл,озеро,lake,A1
508,күн,"солнце, день",sun,A1
509,мұхит,океан,ocean,A1
510,орман,лес,forest,A1
511,өзен,река,river,A1
512,су,вода,water,A1
513,тау,гора,mountain,A1
514,теңіз,море,sea,A1
515,солтүстік,север,north,A1
516,оңтүстік,юг,south,A1
517,батыс,запад,west,A1
518,шығыс,востoк,east,A1
519,жабайы,дикий,animals,A1
520,жануарлар,животный мир,wild,A1
521,аң,зверь,animal,A1
522,арыстан,лев,lion,A1
523,аю,медведь,bear,A1
524,жолбарыс,тигр,tiger,A1
525,қасқыр,волк,wolf,A1
526,қоян,заяц,hare,A1
527,маймыл,обезьяна,monkey,A1
528,піл,слон,elephant,A1
529,түлкі,лиса,fox,A1
530,құс,птица,bird,A1
531,бүркіт,беркут,golden eagle,A1
532,қыран,орёл,eagle,A1
533,аққу,лебедь,swan,A1
534,торғай,воробей,sparrow,A1
535,көгершін,голубь,dove,A1
536,бидай,пшеница,wheat,A1
537,өсімдіктер,растения,plants,A1
538,тары,просо,millet,A1
539,раушан гүлі,роза,rose,A1
540,қызғалдақ,тюльпан,tulip,A1
541,ағаш отырғызу,сажать деревья,plant trees,A1
542,жылқы,лощадь,horse,A1
543,үй жануарлары,домашние животные,domestic animals,A1
544,түйе,верблюд,camel,A1
545,сиыр,корова,cow,A1
546,қой,"баран, овца",sheep,A1
547,ешкі,коза,she goat,A1
548,ит,собака,dog,A1
549,мысық,кот,cat,A1
550,балапан,цыпленок,chicken,A1
551,тауық,курица,hen,A1
552,әтеш,петух,cock,A1
553,қаз,гусь,goose,A1
554,үйрек,утка,duck,A1
555,көктем,весна,spring,A1
556,жыл мезгілдері,времена года,season,A1
557,жаз,лето,summer,A1
558,күз,осень,autumn,A1
559,қыс,зима,winter,A1
560,маусым,сезон,season,A1
561,қаңтар,январь,January,A1
562,айлар,месяцы,months,A1
563,ақпан,февраль,February,A1
564,наурыз,март,March,A1
565,сәуір,апрель,April,A1
566,мамыр,май,May,A1
567,шілде,июль,July,A1
568,тамыз,август,August,A1
569,қыркүйек,сентябрь,September,A1
570,қазан,октябрь,October,A1
571,қараша,ноябрь,November,A1
572,желтоқсан,декабрь,December,A1
573,дүйсенбі,понедельник,Monday,A1
574,апта күндері,дни недели,the days of the week,A1
575,сейсенбі,вторник,Tuesday,A1
576,сәрсенбі,среда,Wednesday,A1
577,бейсенбі,четверг,Thursday,A1
578,жұма,пятница,Friday,A1
579,сенбі,суббота,Saturday,A1
580,жексенбі,воскресенье,Sunday,A1
581,секунд,секунда,second,A1
582,минут,минута,minute,A1
583,сағат,час,hour,A1
584,тәулік,сутки,day,A1
585,апта,неделя,a week,A1
586,жыл,год,year,A1
587,ғасыр,век,century,A1
588,таңертең,утром,in the morning,A1
589,уақыт кезеңдері,периоды времени,periods of the time,A1
590,күндіз,днем,in the afternoon,A1
591,кешке,вечером,in the evening,A1
592,түнде,ночью,at night,A1
593,кеше,вчера,yesterday,A1
594,бүгін,сегодня,today,A1
595,ертең,завтра,tomorrow,A1
596,басында,сначала,"at first, at the beginning",A1
597,аяғында,в конце,at the end,A1
598,дейін,до,before,A1
599,кейін,после,after,A1
600,баяғыда,давно,long ago,A1
601,болашақта,в будущем,in future,A1
602,жақында,скоро,soon,A1
603,ерте,рано,early,A1
604,кеш,поздно,late,A1
605,әдетте,обычно,usually,A1
606,жиі,часто,often,A1
607,сирек,редко,seldom,A1
608,күнде,каждый день,everyday,A1
609,қазір,сейчас,now,A1
610,одан кейін,"потом, после этого",later,A1
611,бұршақ,град,hail storm,A1
612,ауа райы,погода,weather,A1
613,жаңбыр,дождь,rain,A1
614,жел,ветер,wind,A1
615,қар,снег,snow,A1
616,салқын,прохладно,cool,A1
617,тайғақ,гололёд,іce-crusted ground,A1
618,ыстық,жарко,hot,A1
619,аяқкиім,обувь,boots,A1
620,баскиім,головной убор,hat,A1
621,бау,шнурки,shoelaces,A1
622,белдемше,юбка,skirt,A1
623,етік,сапоги,high boots,A1
624,жазғы,летний,summer,A1
625,жейде,рубашка,shirt,A1
626,жемпір,кофта,blouse,A1
627,кию,"одеть, одевать",dress,A1
628,ішкиім,нижнее бельё,underclothes,A1
629,көзілдірік,очки,glasses/spectacles,A1
630,көйлек,платье,dress,A1
631,күрте,куртка,jacket,A1
632,қалпақ,шляпа,hat,A1
633,қалта,карман,pocket,A1
634,қолғап,перчатки,gloves,A1
635,қысқы,зимний,winter,A1
636,орамал,платок,headscarf,A1
637,сән,мода,fashion,A1
638,сөмке,сумка,small  bag,A1
639,сыртқы,верхняя,оuterwear/overclothes,A1
640,тон,шуба,fur coat,A1
641,шалбар,брюки,trousers,A1
642,шұлық,носки,socks,A1
643,түстер,цвета,colours,A1
644,ақ,белый,white,A1
645,жасыл,зелёный,green,A1
646,көгілдір,голубой,light-blue,A1
647,көк,синий,blue,A1
648,қара,черный,black,A1
649,қоңыр,коричневый,brown,A1
650,қызыл,красный,red,A1
651,сары,жёлтый,yellow,A1
652,сұр,серый,grey,A1
653,алтын,золотой,golden,A1
654,сапа,серебрянный,quality,A1
655,ауыр,тяжёлый,heavy,A1
656,жеңіл,лёгкий,easy,A1
657,биік,высокий,high,A1
658,төмен,низкий,low,A1
659,қалың,толстый,fat,A1
660,жұқа,тонкий,thin,A1
661,дөңгелек,круглый,round,A1
662,таза,чистый,clean,A1
663,билет алу,"купить, брать билет",to buy ticket,A1
664,саяхат,путешествие,journey,A1
665,жету,доехать,to reach,A1
666,жоғалту,потерять,to lose,A1
667,жолға шығу,выезжать,leave,A1
668,кешігу,опаздывать,to miss the train,A1
669,ұшу,"летать, лететь",to fly,A1
670,үлгеру,успевать,to catch the train,A1
671,шаршау,уставать,to be tired,A1
672,сапарға шығу,"путешествие, туризм","journey, tourism",A1
673,қайық,лодка,boat,A1
674,кеме,корабль,ship,A1
675,әлеуметтік желі байланыс,социальная сеть связь,social network communication,A1
676,ғаламтор,интернет,internet,A1
677,жіберу,отправить,send,A1
678,анықтама теміржол,справка железная дорога,reference railway,A1
679,жеке куәлік,удостоверение личности,identification,A1
680,жолаушы,пассажир,passenger,A1
681,жолсерік,проводник,conductor,A1
682,бақылаушы,контролер,controller,A1
683,астыңғы,нижнее,lower,A1
684,үстіңгі,верхнее,upper,A1
685,әуежай әуе көлігі,аэропорт авиатранспорт,airport аir transport,A1
686,төлқұжат,паспорт,passport,A1
687,ұшақ,самолёт,plane,A1
688,тіркелу,регистрация,check-in,A1
689,адамның дене бас мүшелері,части тела голова,parts of the body head,A1
690,бет,лицо,face,A1
691,көз,глаза,eye,A1
692,қас,брови,eyebrow,A1
693,кірпік,ресницы,eyelashes,A1
694,шаш,волосы,hair,A1
695,құлақ,уши,ear,A1
696,ауыз,рот,mouth,A1
697,ерін,губы,lip,A1
698,тамақ,горло,throat,A1
699,тіс,зубы,tooth,A1
700,мұрын,нос,nose,A1
701,мойын,шея,neck,A1
702,кеуде,грудь,chest,A1
703,қол,рука,arm,A1
704,саусақ,пальцы,fingers,A1
705,іш,живот,stomack,A1
706,арқа,спина,back,A1
707,бел,поясница,loins,A1
708,аяқ,нога,leg,A1
709,адам қасиеті,сильный,describing people,A1
710,күшті,человека,strong,A1
711,әлсіз,слабый,weak,A1
712,арық,худощавый,thin,A1
713,толық,полный,fat,A1
714,бай,богатый,rich,A1
715,кедей,бедный,poor,A1
716,ауру,"болезнь, больной",hospital,A1
717,ауруханада,в больнице,vitamin,A1
718,дәрі,лекарство,medicine,A1
719,денсаулық,здоровье,health,A1
720,суық тию,простудиться,to catch cold,A1
721,тұмау,грипп,flu,A1
722,дәрігерді шақыру,вызвать врача,to call a doctor,A1
723,спортпен айналысу,заниматься спортом,go in for sports,A1
724,доп,мяч,ball,A1
725,ойын,игра,game/play,A1
726,жарысу,соревноваться,compete,A1
727,жаттығу,тренировка,training,A1
728,жеңіс,победа,win,A1
729,күресу,бороться,restling,A1
730,ойнау,играть,to play,A1
731,секіру,прыгать,to jump,A1
732,сырғанау,кататься,to skate,A1
733,шұғылдану,заниматься,go in for,A1
734,белгілі,известный,famous,A1
735,дарынды,талантливый,talented,A1
736,қайраткер,деятель,artistic creator,A1
737,өнер көрсету,выступать,protrude,A1
738,өнер түрлері,виды искусства,kinds of art,A1
739,танымал,популярный,popular,A1
740,шығарма,произведение,piece of art/composition,A1
741,шығармашылық,творчество,art work,A1
742,бейнелеу өнері,живопись,painting,A1
743,көрме,выставка,exhibition,A1
744,шебер,мастер,master,A1
745,әртіс,артист,actor/actress,A1
746,кино,кино,film,A1
747,кейіпкер,"герой, персонаж",character,A1
748,көрермен,зритель,spectator,A1
749,қатар,ряд,raw,A1
750,басты рөл,главная роль,main role/starring,A1
751,театр,театр,theatre,A1
752,мазмұны,содержание,content,A1
753,сезім,чувство,feeling,A1
754,сыйлық иегері,обладатель премии,award winner,A1
755,ақын әдебиет,поэт литература,poet literature,A1
756,әңгіме,рассказ,story,A1
